Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Johnson C. Smith U Students Garden,Sep 12 2014 - 5:54pm,"September 16, 2014",Johnson C. Smith University,,"September 6, 2014",http://www.wbtv.com/story/26465307/students-plant-crops-at-jcsu-to-encourage-healthy-eating-habits-early,"In an effort to provide a sustainable garden and food source to the campus, the university had students plant fall crops for harvesting in November and December. This garden will also encourage healthy eating habits.",Co-Curricular Education & Student Organizing
La Consolacion College Manila Expands Clean Energy Options,Sep 12 2014 - 6:13pm,"September 16, 2014",,"La Consolacion College, Manila","September 6, 2014",http://www.interaksyon.com/business/94831/la-consolacion-college-switches-to-solar-power,The college recently installed solar panels to increase renewable energy use and revert surplus electricity from the panels back to the grid to offset the equivalent amount of its power bill.,Energy
U California to Increase Solar Energy Power,Sep 12 2014 - 6:07pm,"September 16, 2014",,University of California,"September 8, 2014",http://www.universityofcalifornia.edu/press-room/uc-make-large-purchase-solar-energy-partner-frontier-renewables,The university announced a purchase of solar panels that will increase clean energy options and contribute toward carbon neutrality efforts.,Energy
Michigan State U Introduces New Student Farm Stand,Sep 19 2014 - 11:09am,"September 23, 2014",Michigan State University,,"September 8, 2014",http://statenews.com/article/2014/09/msu-student%20organic%20farm%20stand%20provides%20fresh%20food%20for%20msu%20population,"Organic goods can be purchased for a second year by students, grocery stores and the university's dining services department from a farm stand grown and run by university students.",Co-Curricular Education & Student Organizing
U Missouri Students Hold Sustainable Food Festival,Sep 19 2014 - 11:13am,"September 23, 2014",University of Missouri,,"September 8, 2014",http://www.themaneater.com/stories/2014/9/8/festival-encourages-sustainable-agriculture/,The university's student led sustainable agricultural program recently had a festival that encouraged environmentally friendly farming practices focused on organic produce.,Co-Curricular Education & Student Organizing
Binghamton U to Build Smart Energy Research Building,Sep 19 2014 - 12:41pm,"September 23, 2014",Binghamton University,,"September 8, 2014",http://www.azobuild.com/news.aspx?newsID=18946,Construction began this past August for a new building that will allow students and faculty to conduct research into renewable energy at the unversity.,Buildings
Sacramento State U Encourages Alternative Transportation,Sep 19 2014 - 12:45pm,"September 23, 2014",,Sacramento State University,"September 8, 2014",http://www.sacbee.com/2014/09/08/6689161/sac-state-adds-bike-lanes-parking.html,The university recently added bike lanes and a parking section for bikes and skateboards to encourage clean energy transportation options for students.,Transportation
Sustainable Endowments Institute Analyzes STARS [LINK UPDATED],Sep 5 2014 - 12:38pm,"September 16, 2014 September 9, 2014",Sustainable Endowments Institute,,"September 9, 2014",http://www.endowmentinstitute.org/app/uploads/2014/09/SEI-College-Endowment-Investment-Trends-and-Best-Practices1.pdf,"An analysis was recently released of STARS data from institutions that earned at least one of the six investment credits. AASHE was briefed about the research process, but the report was developed independently and AASHE has not partnered nor endorsed the report.",Assessments & Ratings
Annual Membership Survey,Sep 8 2014 - 9:15am,"September 30, 2014 September 23, 2014 September 16, 2014 September 9, 2014",,AASHE,"September 9, 2014",https://www.surveymonkey.com/s/WV7YRJ3,"AASHE’s annual Membership Survey recently opened for feedback from all AASHE member institutions, organizations and businesses. The survey includes questions on sustainability and AASHE as an organization, and includes follow-up questions as part of AASHE’s ongoing Listening Project. There are 32 to 33 questions, many of which are optional, and will take approximately 20 minutes to complete.",Opportunities
Temple U Unveils New Diversity Site,Sep 12 2014 - 6:17pm,"September 16, 2014",Temple University,,"September 9, 2014",http://news.temple.edu/news/2014-09-08/temple-university-creates-new-resource-support-diversity-campus,The university rolled out a new website to support its mission to maintain a campus climate that welcomes diversity and will provide easy access to information and resources for those interested in fostering diversity across the campus.,Diversity & Inclusion
U Illinois Chicago Building Earns LEED Gold,Sep 19 2014 - 1:07pm,"September 23, 2014",University of Illinois at Chicago,,"September 9, 2014",http://news.uic.edu/mile-square-earns-gold-for-green-features,"The university's Mile Square Health Center earned certification due to aspects that include a green roof, high-efficiency flush fixtures and low-VOC carpet, paint and furniture to reduce chemicals and improve air quality.",Buildings
Smith College Trustees Approve Sustainable Investments Fund,Sep 29 2014 - 12:01pm,"September 30, 2014",Smith College,,"September 9, 2014",http://www.smith.edu/news/trustees-approve-1-million-in-sustainable-investment-fund/,(U.S.): A unanimous approval from the board of a $1 million investment will drive sustainable strategies on the campus to address climate change such as improving energy efficiency at the co-generation plant.,Energy
Boston U Faculty Encourages Fossil Fuel Divestment,Sep 19 2014 - 10:57am,"September 23, 2014",Boston University,,"September 10, 2014",http://www.bu.edu/sustainability/bu-faculty-petition-urges-divestment-from-fossil-fuel-companies/,245 university faculty have teamed together to sign a petition that encourages divestment from fossil fuel companies to combat climate change. The petition is now under review with the university's Board of Trustees.,Climate
U California to Combat Climate Change,Sep 19 2014 - 11:00am,"September 23, 2014",,University of California,"September 10, 2014",http://www.universityofcalifornia.edu/press-room/uc-combat-climate-change,"Through direct investments following United Nation guidelines and the establishment of a framework for sustainable investments and solar energy purchases, the university will continue to take steps toward carbon neutrality by 2025 for a cleaner environment through solar energy.",Climate
Portland State U Building Attains LEED Platinum,Oct 13 2014 - 2:17pm,"October 14, 2014",Portland State University,,"September 10, 2014",http://www.pdx.edu/sustainability/news/new-collaborative-life-sciences-building-awarded-leed-platinum-certification,"The university's recently completed Collaborative Life Sciences building features natural light, communal spaces, green roofs, stormwater collection and energy-efficient lighting.",Buildings
U Maryland Releases Waste Diversion Media [VIDEO],Nov 3 2014 - 1:34pm,"November 4, 2014","University of Maryland, College Park",,"September 10, 2014",http://youtu.be/9NOIyoewhp0,Terps Recycle and the university's Office of Sustainability produced the video explaining to viewers what can be composted and recycled and what items need to be landfilled.,Waste
Cornell U Aims to Revise Climate Neutrality Target Date,Sep 19 2014 - 1:16pm,"September 23, 2014",Cornell University,,"September 11, 2014",http://www.news.cornell.edu/stories/2014/09/accelerated-climate-neutrality-proposal-presented-faculty,"In an effort to achieve carbon neutrality, the university's Climate Neutrality Acceleration Working Group recently proposed moving the target date from 2050 to 2035 by enhancing education and engagement of student learning, faculty research and staff participation in an updated plan.",Coordination & Planning
U Iowa to Use Grass for Biofuel,Sep 29 2014 - 11:59am,"September 30, 2014",University of Iowa,,"September 11, 2014",http://www.kcrg.com/subject/news/iowa-college-hopes-to-use-grass-to-power-campus-20140911,"(U.S.): By 2020, the university wants to have 40 percent of its energy derived from renewable sources with efforts such as a reduction in the amount of coal burned through a new pilot program of burning a specific type of tall grass.",Energy
"AASHE, The Princeton Review and Sierra Magazine Collaborate",Sep 15 2014 - 8:07am,"September 16, 2014",,"The Princeton Review, Sierra Magazine, AASHE","September 12, 2014",http://www.aashe.org/blog/princeton-review-and-sierra-magazine-releases-data-collection-deadline,"The Association for the Advancement of Sustainability in Higher Education (AASHE), The Princeton Review and Sierra Magazine are continuing their collaboration on sustainability data collection. Please mark your calendars, both organizations request data to be submitted through the STARS Reporting Tool by February 27, 2015.",Opportunities
